序,出發日期,團型名稱,機場,天數,機位,可售,優惠價,訂金,狀況
26,2018/07/06(五),幸福三都和服體驗.清水寺.東大寺.環球影城螃蟹美食５日,桃園,5,25,20,38900,10000,
27,2018/07/06(五),五星南紀勝浦和歌山.採果樂.梅酒DIY體驗.伊勢神宮.海女體驗.?峽遊船海鮮美饌５日,桃園,5,28,21,38900,10000,
28,2018/07/06(五),推薦?五星京阪神~天空京都和服體驗、米其林景點、淡路教堂美饌５日,桃園,5,28,21,40900,10000,
59,2018/07/12(四),FUN暑假～夏戀兩晚京都美山町合掌村.東大寺.黑門市場.環球影城5日,桃園,5,28,19,31900,10000,
62,2018/07/13(五),戀上美京都.奈良朱紅燈籠.浪漫小火車.法式料理.環球影城5日,桃園,5,25,17,32900,10000,
63,2018/07/13(五),幸福三都和服體驗.清水寺.東大寺.環球影城螃蟹美食５日,桃園,5,25,18,35900,10000,
64,2018/07/13(五),夏物語<愛.丹後>日本絕景伊根舟屋群.伊根灣遊覽船.丹後鐵道.美山合掌村.海鮮美食5日遊,桃園,5,35,26,36900,10000,
65,2018/07/13(五),漫步阪松~絕美姬路城．和服體驗．大步危遊船．倉敷美觀．小豆島天空步道５日【高松進大阪出】,桃園,5,25,18,36900,10000,
66,2018/07/13(五),五星戀天空.比叡山鐵道.白鬚神社.琵琶湖遊船.米其林景點.空中纜車美食5日,桃園,5,28,19,38900,10000,
67,2018/07/13(五),五星南紀勝浦和歌山.採果樂.梅酒DIY體驗.伊勢神宮.海女體驗.?峽遊船海鮮美饌５日,桃園,5,28,19,38900,10000,
68,2018/07/13(五),五星京阪神~天空京都和服體驗、米其林景點、淡路教堂美饌５日,桃園,5,28,20,40900,10000,
109,2018/07/19(四),FUN暑假～夏戀兩晚京都美山町合掌村.東大寺.黑門市場.環球影城5日,桃園,5,28,19,31900,10000,
110,2018/07/19(四),幸福三都和服體驗.清水寺.東大寺.環球影城螃蟹美食５日,桃園,5,25,17,35900,10000,
113,2018/07/20(五),幸福三都和服體驗.清水寺.東大寺.環球影城螃蟹美食５日,桃園,5,25,17,35900,10000,
115,2018/07/20(五),五星南紀勝浦和歌山.採果樂.梅酒DIY體驗.伊勢神宮.海女體驗.?峽遊船海鮮美饌５日,桃園,5,28,21,38900,10000,
116,2018/07/20(五),五星京阪神~天空京都和服體驗、米其林景點、淡路教堂美饌５日,桃園,5,28,21,40900,10000,
